COMM,SRC,DST,value
FRS,CHN,XEA,18.510222694491368
FRS,CHN,USA,48.93499543993132
FRS,CHN,RUS,1.0278546627717353
FRS,CHN,EUR,67.76771100458299
FRS,CHN,XOE,73.35210402775789
FRS,CHN,OPC,5.122733492418517
FRS,CHN,SAS,22.10869807231648
FRS,CHN,XLC,2.7809852367468864
FRS,CHN,ROW,4.529496270350036
FRS,XEA,CHN,1624.6342963890577
FRS,XEA,XEA,590.6125552842179
FRS,XEA,USA,24.29462699391646
FRS,XEA,RUS,0.9586310733753783
FRS,XEA,EUR,78.45518004664726
FRS,XEA,XOE,210.7847708881074
FRS,XEA,OPC,8.979928293377018
FRS,XEA,SAS,1140.5159516715503
FRS,XEA,XLC,3.6254089894171533
FRS,XEA,ROW,10.626618280847689
FRS,USA,CHN,1025.1504880078135
FRS,USA,XEA,82.64281236042598
FRS,USA,RUS,4.72246829859226
FRS,USA,EUR,237.88847375090387
FRS,USA,XOE,929.0737115655303
FRS,USA,OPC,33.14087076776044
FRS,USA,SAS,12.304736183520035
FRS,USA,XLC,53.01075808969748
FRS,USA,ROW,20.03654250339142
FRS,RUS,CHN,1512.6167842557804
FRS,RUS,XEA,0.4815980257504403
FRS,RUS,USA,0.15584120708887914
FRS,RUS,EUR,359.62911808415174
FRS,RUS,XOE,141.48950269218923
FRS,RUS,OPC,1.994394503439272
FRS,RUS,SAS,0.021269237564004423
FRS,RUS,XLC,0.029020043367977345
FRS,RUS,ROW,43.40437559639871
FRS,EUR,CHN,312.3906048019178
FRS,EUR,XEA,48.26966763343177
FRS,EUR,USA,95.23719191349682
FRS,EUR,RUS,34.33183041014073
FRS,EUR,EUR,5149.509908113177
FRS,EUR,XOE,38.77421598839447
FRS,EUR,OPC,270.35069681738344
FRS,EUR,SAS,40.059234987959016
FRS,EUR,XLC,22.40276434370406
FRS,EUR,ROW,126.277677616738
FRS,XOE,CHN,1838.5924308231358
FRS,XOE,XEA,44.41938536558794
FRS,XOE,USA,132.82184799067315
FRS,XOE,RUS,0.26348480089042803
FRS,XOE,EUR,32.89175432228556
FRS,XOE,XOE,974.1686613513615
FRS,XOE,OPC,4.9775575681126245
FRS,XOE,SAS,217.03770285648866
FRS,XOE,XLC,5.723034815316476
FRS,XOE,ROW,12.538660402543284
FRS,OPC,CHN,288.9941937574462
FRS,OPC,XEA,28.58622437954276
FRS,OPC,USA,12.919274359266893
FRS,OPC,RUS,1.3094068252826403
FRS,OPC,EUR,172.26828227659666
FRS,OPC,XOE,5.496715970318733
FRS,OPC,OPC,29.794292552977048
FRS,OPC,SAS,69.99914032036351
FRS,OPC,XLC,9.748977218716385
FRS,OPC,ROW,19.702509266765293
FRS,SAS,CHN,15.886344554793196
FRS,SAS,XEA,25.786218077353052
FRS,SAS,USA,52.47420756760547
FRS,SAS,RUS,2.0381378282249996
FRS,SAS,EUR,96.32287234166881
FRS,SAS,XOE,26.932037303183332
FRS,SAS,OPC,21.495631335025223
FRS,SAS,SAS,75.77428030717837
FRS,SAS,XLC,5.446289180619661
FRS,SAS,ROW,25.055604923624458
FRS,XLC,CHN,117.7495613790737
FRS,XLC,XEA,47.76823174331985
FRS,XLC,USA,95.75240370763272
FRS,XLC,RUS,2.3642635661642806
FRS,XLC,EUR,176.99199856533812
FRS,XLC,XOE,28.88212516139596
FRS,XLC,OPC,12.215237912592041
FRS,XLC,SAS,135.55726870281637
FRS,XLC,XLC,21.234600104995145
FRS,XLC,ROW,8.388513857499735
FRS,ROW,CHN,775.5696782415572
FRS,ROW,XEA,143.4382529444029
FRS,ROW,USA,69.25923592294463
FRS,ROW,RUS,18.966104647440584
FRS,ROW,EUR,958.306760163788
FRS,ROW,XOE,56.65029559081195
